,artist,screen_name,hotttnesss,num_tweets,recommendations,scores
278,Abel Pintos,AbelPintos,0.748786,200,"[u'Abel Pintos', u'No te va Gustar', u'La Oreja de Van Gogh', u'Alejandro Sanz', u'Reik']",[ 0.          0.94815347  0.95570137  0.97601519  0.98998284]
279,Travie McCoy,TravieMcCoy,0.748681,200,"[u'Travie McCoy', u'Jason Mraz', u'Selena Gomez', u'Maya Jane Coles', u'Massive Attack']",[ 0.          0.95324062  1.00760839  1.01079787  1.0204405 ]
280,Death Cab for Cutie,dcfc,0.748615,199,"[u'Death Cab for Cutie', u'Big Daddy Weave', u'Mumford and Sons', u'Boy & Bear', u'Maya Jane Coles']",[ 0.          1.08501102  1.08801306  1.09335756  1.09771823]
281,Gotye,gotye,0.748411,200,"[u'Gotye', u'Massive Attack', u'Selena Gomez', u'Boy & Bear', u'Maya Jane Coles']",[ 0.          1.03622687  1.04420946  1.04515973  1.048614  ]
282,Barbra Streisand,BarbraStreisand,0.748086,200,"[u'Barbra Streisand', u'Maya Jane Coles', u'Big Daddy Weave', u'Boy & Bear', u'Mumford and Sons']","[  8.42936970e-08   1.17088799e+00   1.17385419e+00   1.17838935e+00
   1.18835873e+00]"
283,Dan Bălan,danbalan1,0.748042,200,"[u'Dan B\u0103lan', u'Massive Attack', u'Selena Gomez', u'Lou Reed', u'Trina']","[  3.94247668e-08   1.05157595e+00   1.06010936e+00   1.10105112e+00
   1.10125604e+00]"
284,The Naked And Famous,TNAF,0.747795,200,"[u'The Naked And Famous', u'Big Daddy Weave', u'Boy & Bear', u'Maya Jane Coles', u'Meat Loaf']","[  4.71216092e-08   1.08537794e+00   1.09059699e+00   1.10204879e+00
   1.12178650e+00]"
285,Akon,Akon,0.747777,200,"[u'Akon', u'Selena Gomez', u'Massive Attack', u'Trina', u'Lykke Li']",[ 0.          0.88695174  0.90308218  0.95689803  0.95808933]
286,Eric Church,ericchurch,0.747465,200,"[u'Eric Church', u'Big Daddy Weave', u'Maya Jane Coles', u'Boy & Bear', u'Mumford and Sons']",[ 0.          1.01070862  1.01686915  1.02630475  1.04487223]
287,Red Foo,RedFoo,0.747221,200,"[u'Red Foo', u'LMFAO', u'Maya Jane Coles', u'Big Daddy Weave', u'Ariana Grande']",[ 0.          0.74700613  1.21148611  1.21733028  1.21792564]
288,Sebastian Ingrosso,SebIngrosso,0.747027,198,"[u'Sebastian Ingrosso', u'Selena Gomez', u'Massive Attack', u'Lykke Li', u'Trina']","[  9.00257079e-08   1.23856030e+00   1.24400846e+00   1.24674249e+00
   1.25590786e+00]"
289,Timomatic,Timomatictheone,0.747001,199,"[u'Timomatic', u'Big Daddy Weave', u'Maya Jane Coles', u'Boy & Bear', u'Katie Melua']",[ 0.          1.18370367  1.18539632  1.19234609  1.20161411]
290,Espinoza Paz,EspinozaOficial,0.746514,200,"[u'Espinoza Paz', u'Alejandro Sanz', u'Reik', u'Noel Torres', u'Tito El Bambino']","[  3.49463207e-08   9.19752170e-01   9.50631925e-01   9.91428950e-01
   9.91809429e-01]"
291,NxZero,nxzerooficial,0.745777,200,"[u'NxZero', u'Luan Santana', u'CPM 22', u'Capital Inicial', u'Selena Gomez']",[ 0.          1.16131767  1.17268734  1.18687991  1.19083498]
292,Sevyn Streeter,sevyn_streeter,0.745698,15,"[u'Sevyn Streeter', u'Chris Brown', u'Selena Gomez', u'Massive Attack', u'Trina']",[ 0.          1.18066319  1.26084865  1.26773954  1.27947708]
293,Sheryl Crow,SherylCrow,0.744863,199,"[u'Sheryl Crow', u'Maya Jane Coles', u'Big Daddy Weave', u'Boy & Bear', u'Selena Gomez']","[  4.47034836e-08   1.11341060e+00   1.11348036e+00   1.13139715e+00
   1.13143886e+00]"
294,Roberto Tapia,roberto__tapia,0.744862,199,"[u'Roberto Tapia', u'Noel Torres', u'Alejandro Sanz', u'Reik', u'Mal\xfa']","[  3.49463207e-08   9.88136775e-01   1.03267750e+00   1.04293428e+00
   1.05361818e+00]"
295,Pentatonix,PTXofficial,0.744222,200,"[u'Pentatonix', u'Big Daddy Weave', u'Boy & Bear', u'Maya Jane Coles', u'Sara Bareilles']","[  3.16101364e-08   1.08874021e+00   1.09146645e+00   1.10979889e+00
   1.12246732e+00]"
296,Rod Stewart,rodstewart,0.743974,200,"[u'Rod Stewart', u'Maya Jane Coles', u'Big Daddy Weave', u'Boy & Bear', u'Mumford and Sons']",[ 0.          1.17172829  1.17228269  1.1778021   1.19332118]
297,Gabrielle Aplin,GabrielleAplin,0.743836,200,"[u'Gabrielle Aplin', u'Maya Jane Coles', u'Big Daddy Weave', u'Boy & Bear', u'Goldfrapp']","[  5.16191366e-08   1.09595071e+00   1.09837934e+00   1.11167066e+00
   1.12190468e+00]"
298,Banda El Recodo,ElRecodoOficial,0.74378,200,"[u'Banda El Recodo', u'Banda Los Recoditos', u'No te va Gustar', u'Reik', u'La Oreja de Van Gogh']","[  6.82856991e-08   7.96933291e-01   8.93609907e-01   9.27758818e-01
   9.34267849e-01]"
299,Chase Rice,ChaseRiceMusic,0.743759,200,"[u'Chase Rice', u'Big Daddy Weave', u'Maya Jane Coles', u'Boy & Bear', u'Katie Melua']",[ 0.          1.17903583  1.19375281  1.19610741  1.20477336]
300,Schoolboy Q,ScHoolBoyQ,0.743713,199,"[u'Schoolboy Q', u'Kendrick Lamar', u'Macklemore', u'Mac Miller', u'Maya Jane Coles']","[  7.06824137e-08   9.65288275e-01   1.21984564e+00   1.23188238e+00
   1.23499057e+00]"
301,blink-182,blink182,0.743713,200,"[u'blink-182', u'Selena Gomez', u'Massive Attack', u'Tame Impala', u'Trina']",[ 0.          0.97438123  0.98302205  1.0285714   1.03019445]
302,Five Finger Death Punch,FFDP,0.743618,199,"[u'Five Finger Death Punch', u'Big Daddy Weave', u'The Beatles', u'Maya Jane Coles', u'Boy & Bear']","[  4.47034836e-08   1.24553135e+00   1.24956928e+00   1.24993764e+00
   1.25255103e+00]"
303,Kylie Minogue,kylieminogue,0.743375,200,"[u'Kylie Minogue', u'Selena Gomez', u'Massive Attack', u'Lykke Li', u'Maya Jane Coles']","[  1.05367121e-08   1.12093390e+00   1.13203556e+00   1.15275265e+00
   1.15481198e+00]"
304,The Strokes,thestrokes,0.743265,80,"[u'The Strokes', u'Arcade Fire', u'Eminem', u'Maya Jane Coles', u'Boy & Bear']","[  1.49011612e-08   1.12444117e+00   1.14178903e+00   1.14753473e+00
   1.14890831e+00]"
305,Jake Owen,jakeowen,0.743147,200,"[u'Jake Owen', u'Maya Jane Coles', u'Big Daddy Weave', u'Boy & Bear', u'Parov Stelar']",[ 0.          1.14022954  1.1424258   1.16000152  1.16620434]
306,Carrie Underwood,carrieunderwood,0.742731,200,"[u'Carrie Underwood', u'Big Daddy Weave', u'Maya Jane Coles', u'Boy & Bear', u'Ariana Grande']",[ 0.          1.01766763  1.0195683   1.04550509  1.05078347]
307,The Doors,TheDoors,0.742349,199,"[u'The Doors', u'Big Daddy Weave', u'The Beatles', u'Boy & Bear', u'Maya Jane Coles']",[ 0.          1.16541488  1.17074053  1.17478717  1.17555784]
308,Mia Martina,MiaMartina,0.742245,199,"[u'Mia Martina', u'Maya Jane Coles', u'Selena Gomez', u'Big Daddy Weave', u'Massive Attack']","[  2.10734243e-08   1.12504948e+00   1.12886938e+00   1.14489517e+00
   1.14489594e+00]"
309,Washed Out,ernestgreene,0.742224,199,"[u'Washed Out', u'Boy & Bear', u'Big Daddy Weave', u'Maya Jane Coles', u'The Cranberries']","[  1.49011612e-08   1.14775636e+00   1.15466452e+00   1.15787259e+00
   1.16263093e+00]"
310,Kenny Rogers,_KennyRogers,0.742207,200,"[u'Kenny Rogers', u'Big Daddy Weave', u'Maya Jane Coles', u'Boy & Bear', u'Mumford and Sons']",[ 0.          1.18023749  1.18420122  1.18782798  1.19334062]
311,Helene Fischer,_Helene_Fischer,0.741617,102,"[u'Helene Fischer', u'Max Herre', u'Marteria', u'Andrea Berg', u'The BossHoss']","[  1.05367121e-08   1.08539282e+00   1.15233557e+00   1.16134572e+00
   1.21808342e+00]"
312,Chris Tomlin,christomlin,0.741386,200,"[u'Chris Tomlin', u'Matt Redman', u'Big Daddy Weave', u'Maya Jane Coles', u'Boy & Bear']",[ 0.          0.89437133  0.95094093  0.98573109  1.00853485]
313,Mayday Parade,Mayday_Parade,0.740875,199,"[u'Mayday Parade', u'Big Daddy Weave', u'Boy & Bear', u'Selena Gomez', u'Massive Attack']",[ 0.          1.02671665  1.02687998  1.03501699  1.04104056]
314,50 Cent,50cent,0.740538,200,"[u'50 Cent', u'Selena Gomez', u'Massive Attack', u'Lykke Li', u'Trina']","[  7.06824137e-08   1.23234730e+00   1.24013024e+00   1.25175684e+00
   1.25392991e+00]"
315,Andrea Berg,Andrea_Berg,0.740329,95,"[u'Andrea Berg', u'Max Herre', u'Marteria', u'Helene Fischer', u'The BossHoss']",[ 0.          1.03168937  1.13188294  1.16134572  1.22245948]
316,Mary J. Blige,maryjblige,0.740178,200,"[u'Mary J. Blige', u'Maya Jane Coles', u'Big Daddy Weave', u'Selena Gomez', u'Boy & Bear']","[  3.65002415e-08   1.07832577e+00   1.08312479e+00   1.10500400e+00
   1.10920599e+00]"
317,赤西仁,Jin_Akanishi,0.740102,199,"[u'\u8d64\u897f\u4ec1', u'Jaheim', u'Anna Kendrick', u'Maya Jane Coles', u'Ariana Grande']","[  2.35608046e-08   1.19459004e+00   1.20683198e+00   1.20685404e+00
   1.20704404e+00]"
318,Def Leppard,def_leppard,0.739955,197,"[u'Def Leppard', u'Big Daddy Weave', u'Maya Jane Coles', u'Boy & Bear', u'The Beatles']",[ 0.          1.20933226  1.21063868  1.21708525  1.22488257]
319,Shania Twain,ShaniaTwain,0.73969,199,"[u'Shania Twain', u'Maya Jane Coles', u'Big Daddy Weave', u'Boy & Bear', u'Meat Loaf']",[ 0.          1.04453709  1.04907769  1.06555418  1.07344475]
320,The Band Perry,thebandperry,0.739476,200,"[u'The Band Perry', u'Big Daddy Weave', u'Maya Jane Coles', u'Boy & Bear', u'Selena Gomez']",[ 0.          1.05230136  1.06982579  1.07424144  1.08245533]
321,Cher Lloyd,CherLloyd,0.739445,198,"[u'Cher Lloyd', u'Maya Jane Coles', u'Big Daddy Weave', u'Selena Gomez', u'Boy & Bear']","[  3.65002415e-08   1.24608100e+00   1.25150380e+00   1.25876782e+00
   1.26103407e+00]"
322,Elissa,elissakh,0.739419,200,"[u'Elissa', u'Selena Gomez', u'Massive Attack', u'Trina', u'Lykke Li']","[  1.10509969e-07   1.17342715e+00   1.18601679e+00   1.19614238e+00
   1.19722444e+00]"
323,T-Pain,TPAIN,0.738997,199,"[u'T-Pain', u'Maya Jane Coles', u'Big Daddy Weave', u'Boy & Bear', u'Katie Melua']",[ 0.          1.22102044  1.22109236  1.2286504   1.23009602]
